"game_id","date","week","year"
"401110723","August 24",1,2019
"401114164","August 24",1,2019
"401111653","August 29",1,2019
"401110731","August 29",1,2019
"401114223","August 29",1,2019
"401117853","August 29",1,2019
"401117854","August 29",1,2019
"401117855","August 29",1,2019
"401119254","August 29",1,2019
"401119255","August 29",1,2019
"401114246","August 29",1,2019
"401135910","August 29",1,2019
"401114236","August 29",1,2019
"401114237","August 29",1,2019
"401119253","August 29",1,2019
"401112229","August 29",1,2019
"401114153","August 29",1,2019
"401117493","August 29",1,2019
"401112212","August 30",1,2019
"401117856","August 30",1,2019
"401114238","August 30",1,2019
"401112264","August 30",1,2019
"401112430","August 30",1,2019
"401112262","August 30",1,2019
"401114184","August 30",1,2019
"401112122","August 30",1,2019
"401110720","August 31",1,2019
"401110732","August 31",1,2019
"401112251","August 31",1,2019
"401110725","August 31",1,2019
"401112222","August 31",1,2019
"401112135","August 31",1,2019
"401110722","August 31",1,2019
"401114233","August 31",1,2019
"401112257","August 31",1,2019
"401112191","August 31",1,2019
"401112085","August 31",1,2019
"401112434","August 31",1,2019
"401114228","August 31",1,2019
"401112238","August 31",1,2019
"401112245","August 31",1,2019
"401112145","August 31",1,2019
"401112157","August 31",1,2019
"401112431","August 31",1,2019
"401112432","August 31",1,2019
"401112096","August 31",1,2019
"401110724","August 31",1,2019
"401110726","August 31",1,2019
"401110727","August 31",1,2019
"401112201","August 31",1,2019
"401112143","August 31",1,2019
"401119259","August 31",1,2019
"401117859","August 31",1,2019
"401117494","August 31",1,2019
"401117857","August 31",1,2019
"401119256","August 31",1,2019
"401110729","August 31",1,2019
"401110730","August 31",1,2019
"401121934","August 31",1,2019
"401110721","August 31",1,2019
"401112139","August 31",1,2019
"401112435","August 31",1,2019
"401117495","August 31",1,2019
"401114245","August 31",1,2019
"401121935","August 31",1,2019
"401114174","August 31",1,2019
"401114240","August 31",1,2019
"401114242","August 31",1,2019
"401114243","August 31",1,2019
"401119257","August 31",1,2019
"401119258","August 31",1,2019
"401117858","August 31",1,2019
"401112106","August 31",1,2019
"401112073","August 31",1,2019
"401110728","August 31",1,2019
"401112433","August 31",1,2019
"401114241","August 31",1,2019
"401114244","August 31",1,2019
"401112129","August 31",1,2019
"401128468","August 31",1,2019
"401117496","August 31",1,2019
"401117497","August 31",1,2019
"401114218","August 31",1,2019
"401112114","September 1",1,2019
"401112436","September 2",1,2019
"401112437","September 6",2,2019
"401112447","September 6",2,2019
"401114251","September 6",2,2019
"401114154","September 6",2,2019
"401112445","September 7",2,2019
"401112252","September 7",2,2019
"401112223","September 7",2,2019
"401112192","September 7",2,2019
"401112202","September 7",2,2019
"401112446","September 7",2,2019
